title,text,stars,publishedAtDate,likesCount,platform,tokens,text_preprocessed
Masjid Raya Baiturrahman,masjid raya baiturrahman aceh dibangun pada masa kesultanan aceh sekitar tahun oleh sultan iskandar muda ada juga versi yang menyebutkan pembangunannya lebih awal lagi simbol perlawanan saat belanda menyerang aceh pada tahun masjid ini sempat dibakar namun karena perlawanan rakyat aceh yang luar biasa belanda terpaksa membangunnya kembali pada tahun untuk meredam kemarahan masyarakat arsitektur mengusung gaya mughal india dengan kubah kubah hitam yang ikonik saat ini masjid tersebut telah direnovasi menyerupai masjid nabawi di madinah dengan tambahan payung payung elektrik raksasa di halamannya saksi bisu tsunami inilah momen yang paling menggetarkan dunia yang berkaitan dengan obrolan kita tentang kun fayakun tetap kokoh saat gempa sr dan gelombang tsunami menyapu bersih kota banda aceh pada desember masjid raya baiturrahman tetap berdiri tegak tempat perlindungan ketika bangunan di sekelilingnya hancur rata dengan tanah ribuan warga muslim maupun non muslim berlari ke dalam masjid ini dan selamat air tsunami masuk ke dalam masjid namun strukturnya tidak roboh sedikit pun fenomena spiritual foto masjid yang berdiri sendirian di tengah hamparan puing puing bangunan yang hancur menjadi foto paling ikonik di dunia membuktikan bahwa jika allah berkehendak melindungi sesuatu tidak ada kekuatan alam manapun yang bisa menghancurkannya,5.0,12/02/2026 11:32,0,Google Maps,"['masjid', 'raya', 'baiturrahman', 'aceh', 'bangun', 'masa', 'sultan', 'aceh', 'tahun', 'sultan', 'iskandar', 'muda', 'versi', 'sebut', 'bangun', 'lebih', 'awal', 'simbol', 'lawan', 'belanda', 'serang', 'aceh', 'tahun', 'masjid', 'sempat', 'bakar', 'lawan', 'rakyat', 'aceh', 'luar', 'biasa', 'belanda', 'paksa', 'bangun', 'tahun', 'redam', 'marah', 'masyarakat', 'arsitektur', 'usung', 'gaya', 'mughal', 'india', 'kubah', 'kubah', 'hitam', 'ikonik', 'masjid', 'sebut', 'renovasi', 'rupa', 'masjid', 'nabawi', 'madinah', 'tambah', 'payung', 'payung', 'elektrik', 'raksasa', 'halaman', 'saksi', 'bisu', 'tsunami', 'ini', 'momen', 'paling', 'getar', 'dunia', 'kait', 'obrol', 'kun', 'fayakun', 'tetap', 'kokoh', 'gempa', 'sr', 'gelombang', 'tsunami', 'sapu', 'bersih', 'kota', 'banda', 'aceh', 'desember', 'masjid', 'raya', 'baiturrahman', 'tetap', 'diri', 'tegak', 'tempat', 'lindung', 'bangun', 'keliling', 'hancur', 'rata', 'tanah', 'ribu', 'warga', 'muslim', 'maupun', 'non', 'muslim', 'lari', 'masjid', 'selamat', 'air', 'tsunami', 'masuk', 'masjid', 'struktur', 'roboh', 'sedikit', 'fenomena', 'spiritual', 'foto', 'masjid', 'diri', 'sendiri', 'tengah', 'hampar', 'puing', 'puing', 'bangun', 'hancur', 'jadi', 'foto', 'paling', 'ikonik', 'dunia', 'bukti', 'allah', 'hendak', 'lindung', 'kuat', 'alam', 'mana', 'hancur']",masjid raya baiturrahman aceh bangun masa sultan aceh tahun sultan iskandar muda versi sebut bangun lebih awal simbol lawan belanda serang aceh tahun masjid sempat bakar lawan rakyat aceh luar biasa belanda paksa bangun tahun redam marah masyarakat arsitektur usung gaya mughal india kubah kubah hitam ikonik masjid sebut renovasi rupa masjid nabawi madinah tambah payung payung elektrik raksasa halaman saksi bisu tsunami ini momen paling getar dunia kait obrol kun fayakun tetap kokoh gempa sr gelombang tsunami sapu bersih kota banda aceh desember masjid raya baiturrahman tetap diri tegak tempat lindung bangun keliling hancur rata tanah ribu warga muslim maupun non muslim lari masjid selamat air tsunami masuk masjid struktur roboh sedikit fenomena spiritual foto masjid diri sendiri tengah hampar puing puing bangun hancur jadi foto paling ikonik dunia bukti allah hendak lindung kuat alam mana hancur
Masjid Raya Baiturrahman,masjid penuh sejarah bagi masyarakat terutama di banda aceh alhamdulillah saya dari palembang bisa berkunjung dan sholat disini masjidnya bersih teratur tempat parkirnya dan tentu nyaman bagi pengunjung lokasi juga tidak jauh dari museum tsunami saya berjalan dari museum ke masjid baiturrahman barakallahu fiik,5.0,15/01/2026 08:09,0,Google Maps,"['masjid', 'penuh', 'sejarah', 'masyarakat', 'utama', 'banda', 'aceh', 'alhamdulillah', 'palembang', 'kunjung', 'sholat', 'sini', 'masjid', 'bersih', 'atur', 'tempat', 'parkir', 'nyaman', 'unjung', 'lokasi', 'jauh', 'museum', 'tsunami', 'jalan', 'museum', 'masjid', 'baiturrahman', 'barakallahu', 'fiik']",masjid penuh sejarah masyarakat utama banda aceh alhamdulillah palembang kunjung sholat sini masjid bersih atur tempat parkir nyaman unjung lokasi jauh museum tsunami jalan museum masjid baiturrahman barakallahu fiik
Masjid Raya Baiturrahman,mashaallah diijinkan untuk berkunjung kesini saksi bisu tsunami alhamdulillah kesini di temenin sama orang aceh jadi ngerangkap sebagai guide mana aja yang boleh dan ga boleh jadi buat kamu wanita yang kesini wajid menggunakan rok ya pakai hijab,5.0,21/01/2026 01:30,1,Google Maps,"['mashaallah', 'diijinkan', 'kunjung', 'kesini', 'saksi', 'bisu', 'tsunami', 'alhamdulillah', 'kesini', 'temenin', 'sama', 'orang', 'aceh', 'jadi', 'ngerangkap', 'guide', 'mana', 'aja', 'ga', 'jadi', 'buat', 'kamu', 'wanita', 'kesini', 'wajid', 'guna', 'rok', 'pakai', 'hijab']",mashaallah diijinkan kunjung kesini saksi bisu tsunami alhamdulillah kesini temenin sama orang aceh jadi ngerangkap guide mana aja ga jadi buat kamu wanita kesini wajid guna rok pakai hijab
Masjid Raya Baiturrahman,tiada kata selain subhanallah ini masjid bagus dan megah banget ingat dulu pas kecil liat video pas tsunami aceh masjid ini paling kokoh halaman masjidnya juga rapih warga yang masuk disiplin nggak ada tuh yang pakai alas sambil makan atau injak rumput bagian dalamnya juga sejuk banget banyak pilar yang bikin masjid ini klasik tapi sangat megah,5.0,09/11/2025 18:43,0,Google Maps,"['tiada', 'kata', 'subhanallah', 'masjid', 'bagus', 'megah', 'banget', 'ingat', 'dulu', 'pas', 'kecil', 'liat', 'video', 'pas', 'tsunami', 'aceh', 'masjid', 'paling', 'kokoh', 'halaman', 'masjid', 'rapih', 'warga', 'masuk', 'disiplin', 'tuh', 'pakai', 'alas', 'makan', 'injak', 'rumput', 'bagi', 'dalam', 'sejuk', 'banget', 'banyak', 'pilar', 'bikin', 'masjid', 'klasik', 'sangat', 'megah']",tiada kata subhanallah masjid bagus megah banget ingat dulu pas kecil liat video pas tsunami aceh masjid paling kokoh halaman masjid rapih warga masuk disiplin tuh pakai alas makan injak rumput bagi dalam sejuk banget banyak pilar bikin masjid klasik sangat megah
Masjid Raya Baiturrahman,setiap kali ke aceh wajib kesini masjid ini bukan saja indah megah tapi punya banyak cerita terutama buat saya saat jadi relawan tsunami dulu dan banjir aceh saat ini adem rasanya tenang,5.0,22/01/2026 18:04,0,Google Maps,"['kali', 'aceh', 'wajib', 'kesini', 'masjid', 'bukan', 'indah', 'megah', 'punya', 'banyak', 'cerita', 'utama', 'buat', 'jadi', 'rawan', 'tsunami', 'dulu', 'banjir', 'aceh', 'adem', 'rasa', 'tenang']",kali aceh wajib kesini masjid bukan indah megah punya banyak cerita utama buat jadi rawan tsunami dulu banjir aceh adem rasa tenang
Masjid Raya Baiturrahman,alhamdulillah bisa coba solat magrib di masjid raya masjidnya enak adem plazanya bisa dipakai nongkrong dan ngobrol ngobrol untuk desainnya luarnya agak modern dan dalam y interior klasik khas melayu bangunannya juga masih tradisional jadi keliatan otentiknya namun krn plazanya besar jd kelihatan megah juga tempat wudhunya juga banyak ada yg di lantai satu sama diunderground cuma yg di undergrouns becek bangett,5.0,13/12/2025 11:07,0,Google Maps,"['alhamdulillah', 'coba', 'solat', 'magrib', 'masjid', 'raya', 'masjid', 'enak', 'adem', 'plaza', 'pakai', 'nongkrong', 'ngobrol', 'ngobrol', 'desain', 'luar', 'modern', 'y', 'interior', 'klasik', 'khas', 'melayu', 'bangun', 'tradisional', 'jadi', 'liat', 'otentik', 'krn', 'plaza', 'besar', 'jd', 'lihat', 'megah', 'tempat', 'wudhunya', 'banyak', 'yg', 'lantai', 'satu', 'sama', 'diunderground', 'cuma', 'yg', 'undergrouns', 'becek', 'bangett']",alhamdulillah coba solat magrib masjid raya masjid enak adem plaza pakai nongkrong ngobrol ngobrol desain luar modern y interior klasik khas melayu bangun tradisional jadi liat otentik krn plaza besar jd lihat megah tempat wudhunya banyak yg lantai satu sama diunderground cuma yg undergrouns becek bangett
Masjid Raya Baiturrahman,masjid raya baiturrahman sangat indah dan megah penuh nilai sejarah dan spiritual suasananya sejuk bersih dan tertata rapi jamaah merasa nyaman untuk beribadah maupun berkunjung salah satu ikon kebanggaan aceh yang wajib dikunjungi,5.0,26/12/2025 22:59,0,Google Maps,"['masjid', 'raya', 'baiturrahman', 'sangat', 'indah', 'megah', 'penuh', 'nilai', 'sejarah', 'spiritual', 'suasana', 'sejuk', 'bersih', 'tata', 'rapi', 'jamaah', 'rasa', 'nyaman', 'ibadah', 'maupun', 'kunjung', 'salah', 'satu', 'ikon', 'bangga', 'aceh', 'wajib', 'kunjung']",masjid raya baiturrahman sangat indah megah penuh nilai sejarah spiritual suasana sejuk bersih tata rapi jamaah rasa nyaman ibadah maupun kunjung salah satu ikon bangga aceh wajib kunjung
Masjid Raya Baiturrahman,sebuah pengalaman tak terlupakan aku hampir gak bisa masuk krn cuma pake celana panjang padahal aku pake kerudung tertutup ternyata ada aturan soal pakaian di sini utk perempuan meskipun berjilbab tetap gak boleh masuk kalo gak pake rok gamis dan kerennya mrk menyiapkan bawahan mukena atau sarung utk dijadikan rok buat yg gak pakai rok saat itu yaaa walau bentukanku hari itu aneh tapi aku menerima dengan senang hati,5.0,12/01/2026 06:50,0,Google Maps,"['buah', 'alam', 'tak', 'lupa', 'aku', 'hampir', 'gak', 'masuk', 'krn', 'cuma', 'pake', 'celana', 'panjang', 'padahal', 'aku', 'pake', 'kerudung', 'tutup', 'nyata', 'atur', 'soal', 'pakai', 'sini', 'utk', 'perempuan', 'meski', 'jilbab', 'tetap', 'gak', 'masuk', 'kalo', 'gak', 'pake', 'rok', 'gamis', 'keren', 'mrk', 'siap', 'bawah', 'mukena', 'sarung', 'utk', 'jadi', 'rok', 'buat', 'yg', 'gak', 'pakai', 'rok', 'yaaa', 'bentuk', 'hari', 'aneh', 'aku', 'terima', 'senang', 'hati']",buah alam tak lupa aku hampir gak masuk krn cuma pake celana panjang padahal aku pake kerudung tutup nyata atur soal pakai sini utk perempuan meski jilbab tetap gak masuk kalo gak pake rok gamis keren mrk siap bawah mukena sarung utk jadi rok buat yg gak pakai rok yaaa bentuk hari aneh aku terima senang hati
Masjid Raya Baiturrahman,masya allah sangat bersyukur aku mendapatkan kesemptan bisa berkunjung dan sholat di masjid raya baiturrahman selama ini hanya lihat di tv hp alhamdulillah bisa datang langsung awalnya sempat ragu utk datang karena saya menggunakan celana setelah tanya ke pihak hotel tempat saya menginap jadi tercerahkan terkait outfit untuk teman muslim yang bukan domisili aceh saya mau sharing yaa sebaiknya menggunakan rok atau gamis ketika hendak datang ke sini dan wajib berkerudung ya saya lihat ada juga pengunjung yang menggunakan celana panjang tetapi celananya gombrong macam cargo atau kulot atau bisa juga atasan tunik panjang celana biasa bukan cargo kulot tetapi jgn ngetat sekedar saran jika punya kacamata anti silau atau photochromic baiknya dipake ya apalagi jika berkunjung di siang hari lantai marmer auto mantulin cahaya matahari pasti keningnya mengkerut jd pwanas bgt sempatkan singgah dan sholat di sini yaa teman teman,5.0,15/10/2025 20:14,0,Google Maps,"['masya', 'allah', 'sangat', 'syukur', 'aku', 'dapat', 'kesemptan', 'kunjung', 'sholat', 'masjid', 'raya', 'baiturrahman', 'lama', 'lihat', 'tv', 'hp', 'alhamdulillah', 'datang', 'langsung', 'awal', 'sempat', 'ragu', 'utk', 'datang', 'guna', 'celana', 'tanya', 'pihak', 'hotel', 'tempat', 'inap', 'jadi', 'cerah', 'kait', 'outfit', 'teman', 'muslim', 'bukan', 'domisili', 'aceh', 'mau', 'sharing', 'yaa', 'baik', 'guna', 'rok', 'gamis', 'hendak', 'datang', 'sini', 'wajib', 'kerudung', 'lihat', 'unjung', 'guna', 'celana', 'panjang', 'celana', 'gombrong', 'macam', 'cargo', 'kulot', 'atas', 'tunik', 'panjang', 'celana', 'biasa', 'bukan', 'cargo', 'kulot', 'jgn', 'ngetat', 'dar', 'saran', 'punya', 'kacamata', 'anti', 'silau', 'photochromic', 'baik', 'dipake', 'kunjung', 'siang', 'hari', 'lantai', 'marmer', 'auto', 'mantulin', 'cahaya', 'matahari', 'kening', 'kerut', 'jd', 'pwanas', 'bgt', 'sempat', 'singgah', 'sholat', 'sini', 'yaa', 'teman', 'teman']",masya allah sangat syukur aku dapat kesemptan kunjung sholat masjid raya baiturrahman lama lihat tv hp alhamdulillah datang langsung awal sempat ragu utk datang guna celana tanya pihak hotel tempat inap jadi cerah kait outfit teman muslim bukan domisili aceh mau sharing yaa baik guna rok gamis hendak datang sini wajib kerudung lihat unjung guna celana panjang celana gombrong macam cargo kulot atas tunik panjang celana biasa bukan cargo kulot jgn ngetat dar saran punya kacamata anti silau photochromic baik dipake kunjung siang hari lantai marmer auto mantulin cahaya matahari kening kerut jd pwanas bgt sempat singgah sholat sini yaa teman teman
Masjid Raya Baiturrahman,halaman masjid raya baiturrahman basah disiram hujan sejak semalam jadi dapat foto cantik pantulan masjid lantai yang basah masya allah marmernya indah solid mengkilap kami pun berjalan hati hati karena lantai licin suara adzan yg merdu bacaan iman fasih dengan sound yang jernih serasa di tanah suci deretan al qur an bagus rapi di rak mukena tersedia saya lupa lihat soal bersih atau tidaknya sajadah cukup tebal dan bersih tempat wudhu dan toilet didisain seperti masjid haramain senang bisa menikmati subuh di masjid yg menjadi saksi kedahsyatan sunami aceh,5.0,11/10/2025 07:05,0,Google Maps,"['halaman', 'masjid', 'raya', 'baiturrahman', 'basah', 'siram', 'hujan', 'sejak', 'malam', 'jadi', 'foto', 'cantik', 'pantul', 'masjid', 'lantai', 'basah', 'masya', 'allah', 'marmer', 'indah', 'solid', 'kilap', 'jalan', 'hati', 'hati', 'lantai', 'licin', 'suara', 'adzan', 'yg', 'merdu', 'baca', 'iman', 'fasih', 'sound', 'jernih', 'serasa', 'tanah', 'suci', 'deret', 'al', 'qur', 'an', 'bagus', 'rapi', 'rak', 'mukena', 'sedia', 'lupa', 'lihat', 'soal', 'bersih', 'tidak', 'sajadah', 'cukup', 'tebal', 'bersih', 'tempat', 'wudhu', 'toilet', 'disain', 'masjid', 'haramain', 'senang', 'nikmat', 'subuh', 'masjid', 'yg', 'jadi', 'saksi', 'dahsyat', 'sunam', 'aceh']",halaman masjid raya baiturrahman basah siram hujan sejak malam jadi foto cantik pantul masjid lantai basah masya allah marmer indah solid kilap jalan hati hati lantai licin suara adzan yg merdu baca iman fasih sound jernih serasa tanah suci deret al qur an bagus rapi rak mukena sedia lupa lihat soal bersih tidak sajadah cukup tebal bersih tempat wudhu toilet disain masjid haramain senang nikmat subuh masjid yg jadi saksi dahsyat sunam aceh
