title,text,stars,publishedAtDate,likesCount,platform
Masjid Raya Baiturrahman,"Masjid raya Baiturrahman Aceh Dibangun pada masa Kesultanan Aceh (sekitar tahun 1612) oleh Sultan Iskandar Muda. Ada juga versi yang menyebutkan pembangunannya lebih awal lagi.
Simbol Perlawanan: Saat Belanda menyerang Aceh pada tahun 1873, masjid ini sempat dibakar. Namun, karena perlawanan rakyat Aceh yang luar biasa, Belanda terpaksa membangunnya kembali pada tahun 1879 untuk meredam kemarahan masyarakat.
Arsitektur: Mengusung gaya Mughal (India) dengan kubah-kubah hitam yang ikonik. Saat ini, masjid tersebut telah direnovasi menyerupai Masjid Nabawi di Madinah dengan tambahan payung-payung elektrik raksasa di halamannya.
2. Saksi Bisu Tsunami 2004
Inilah momen yang paling menggetarkan dunia, yang berkaitan dengan obrolan kita tentang Kun Fayakun:
Tetap Kokoh: Saat gempa 9,1 SR dan gelombang Tsunami menyapu bersih kota Banda Aceh pada 26 Desember 2004, Masjid Raya Baiturrahman tetap berdiri tegak.
Tempat Perlindungan: Ketika bangunan di sekelilingnya hancur rata dengan tanah, ribuan warga (muslim maupun non-muslim) berlari ke dalam masjid ini dan selamat. Air tsunami masuk ke dalam masjid, namun strukturnya tidak roboh sedikit pun.
Fenomena Spiritual: Foto masjid yang berdiri sendirian di tengah hamparan puing-puing bangunan yang hancur menjadi foto paling ikonik di dunia, membuktikan bahwa jika Allah berkehendak melindungi sesuatu, tidak ada kekuatan alam manapun yang bisa menghancurkannya",5,12/02/2026 11:32,0,Google Maps
Masjid Raya Baiturrahman,"Masjid penuh sejarah bagi masyarakat terutama di Banda Aceh. Alhamdulillah saya dari Palembang, bisa berkunjung dan sholat disini.

Masjidnya bersih, teratur tempat parkirnya dan tentu nyaman bagi pengunjung. Lokasi juga tidak jauh dari museum Tsunami, saya berjalan dari museum ke masjid Baiturrahman.

Barakallahu fiik",5,15/01/2026 08:09,0,Google Maps
Masjid Raya Baiturrahman,"mashaAllah diijinkan untuk berkunjung kesini, saksi bisu Tsunami, Alhamdulillah kesini di temenin sama orang Aceh jadi ngerangkap sebagai guide mana aja yang boleh dan ga boleh, jadi buat kamu wanita yang kesini wajid menggunakan rok ya pakai hijab.",5,21/01/2026 01:30,1,Google Maps
Masjid Raya Baiturrahman,"Tiada kata selain Subhanallah, ini masjid bagus dan megah banget. Ingat dulu pas kecil liat video pas tsunami Aceh, masjid ini paling kokoh.

Halaman masjidnya juga rapih, warga yang masuk disiplin. Nggak ada tuh yang pakai alas, sambil makan, atau injak rumput.

Bagian dalamnya juga sejuk banget. Banyak pilar yang bikin masjid ini klasik tapi sangat megah.",5,09/11/2025 18:43,0,Google Maps
Masjid Raya Baiturrahman,"Setiap kali ke Aceh, wajib kesini, masjid ini bukan saja indah, megah, tapi punya banyak cerita, terutama buat saya saat jadi relawan tsunami dulu dan banjir Aceh saat ini, adem rasanya, tenang",5,22/01/2026 18:04,0,Google Maps
Masjid Raya Baiturrahman,"Alhamdulillah bisa coba solat magrib di Masjid Raya. Masjidnya enak, adem. Plazanya bisa dipakai nongkrong dan ngobrol ngobrol.

Untuk desainnya luarnya agak modern, dan dalam y/interior klasik khas Melayu. Bangunannya juga masih tradisional jadi keliatan otentiknya, namun krn plazanya besar jd kelihatan megah juga.

Tempat wudhunya juga banyak, ada yg di lantai satu sama diunderground. Cuma yg di undergrouns becek bangett",5,13/12/2025 11:07,0,Google Maps
Masjid Raya Baiturrahman,"Masjid Raya Baiturrahman sangat indah dan megah, penuh nilai sejarah dan spiritual. Suasananya sejuk, bersih, dan tertata rapi. Jamaah merasa nyaman untuk beribadah maupun berkunjung. Salah satu ikon kebanggaan Aceh yang wajib dikunjungi.",5,26/12/2025 22:59,0,Google Maps
Masjid Raya Baiturrahman,"Sebuah pengalaman tak terlupakan, aku hampir gak bisa masuk krn ""cuma"" pake celana panjang. Padahal aku pake kerudung tertutup. Ternyata ada aturan soal pakaian di sini. Utk perempuan, meskipun berjilbab tetap gak boleh masuk kalo gak pake rok/gamis. Dan kerennya, mrk menyiapkan bawahan mukena atau sarung utk dijadikan rok, buat yg gak pakai rok saat itu. Yaaa walau bentukanku hari itu aneh, tapi aku menerima dengan senang hati.",5,12/01/2026 06:50,0,Google Maps
Masjid Raya Baiturrahman,"Masya Allah sangat bersyukur aku mendapatkan kesemptan bisa berkunjung dan sholat di Masjid Raya Baiturrahman. Selama ini hanya lihat di tv/hp, alhamdulillah bisa datang langsung. Awalnya sempat ragu utk datang karena saya menggunakan celana. Setelah tanya ke pihak hotel tempat saya menginap, jadi tercerahkan terkait outfit. Untuk teman2 muslim yang bukan domisili Aceh, saya mau sharing yaa. Sebaiknya menggunakan rok atau gamis ketika hendak datang ke sini dan wajib berkerudung ya. Saya lihat ada juga pengunjung yang menggunakan celana panjang, tetapi celananya gombrong macam cargo atau kulot. Atau bisa juga atasan tunik panjang + celana biasa (bukan cargo/kulot, tetapi jgn ngetat).
Sekedar saran, jika punya kacamata anti silau atau photochromic, baiknya dipake ya. Apalagi jika berkunjung di siang hari. Lantai marmer auto mantulin cahaya matahari, pasti keningnya mengkerut jd pwanas bgt.

Sempatkan singgah dan sholat di sini yaa teman-teman ?",5,15/10/2025 20:14,0,Google Maps
Masjid Raya Baiturrahman,"Halaman masjid Raya Baiturrahman basah, disiram hujan sejak semalam, jadi dapat foto cantik pantulan masjid lantai yang basah.

Masya Allah marmernya indah, solid, mengkilap. Kami pun berjalan hati hati karena lantai licin.

Suara adzan yg merdu, bacaan iman fasih dengan sound yang jernih, serasa di tanah suci.

Deretan Al Qur'an bagus2;rapi di rak2
Mukena tersedia (saya lupa lihat soal bersih atau tidaknya).

Sajadah cukup tebal dan bersih.

Tempat wudhu dan toilet didisain seperti masjid Haramain.

Senang bisa menikmati subuh di masjid yg menjadi saksi kedahsyatan sunami Aceh.",5,11/10/2025 07:05,0,Google Maps
