title,text,stars,publishedAtDate,likesCount,platform,tokens,text_preprocessed,sentimen,prediksi_sentimen
Masjid Raya Baiturrahman,terimakasih atas vidio yang mahal ini kami sangat menikmatinya,,20/05/2026 11:07,176,TikTok,"['terimakasih', 'atas', 'vidio', 'mahal', 'sangat', 'nikmat']",terimakasih atas vidio mahal sangat nikmat,,Positif
Masjid Raya Baiturrahman,alhamdulillah sdh dpt masuk dan solat maghrib di masjid baitulrahman pada yg lalu salam dr,,20/05/2026 20:25,46,TikTok,"['alhamdulillah', 'sdh', 'dpt', 'masuk', 'solat', 'maghrib', 'masjid', 'baitulrahman', 'yg', 'lalu', 'salam', 'dr']",alhamdulillah sdh dpt masuk solat maghrib masjid baitulrahman yg lalu salam dr,,Positif
Masjid Raya Baiturrahman,alhamdulillah,,22/05/2026 12:44,8,TikTok,['alhamdulillah'],alhamdulillah,,Positif
Masjid Raya Baiturrahman,masha allah,,01/06/2026 09:44,0,TikTok,"['masha', 'allah']",masha allah,,Positif
Masjid Raya Baiturrahman,ya allah pengen sekali berkunjung ke masjid raya baiturrahman banda aceh salam dari lampaseh,,20/05/2026 19:36,16,TikTok,"['allah', 'ken', 'sekali', 'kunjung', 'masjid', 'raya', 'baiturrahman', 'banda', 'aceh', 'salam', 'lampaseh']",allah ken sekali kunjung masjid raya baiturrahman banda aceh salam lampaseh,,Positif
Masjid Raya Baiturrahman,salam dari jambi pertama kali memijakan kaki di masjid yg bersejarah ini,,22/05/2026 17:59,6,TikTok,"['salam', 'jambi', 'pertama', 'kali', 'pijak', 'kaki', 'masjid', 'yg', 'sejarah']",salam jambi pertama kali pijak kaki masjid yg sejarah,,Positif
Masjid Raya Baiturrahman,sya kristen tapi saya pernah masuk dan menginjakan kaki di mesjid ini saya kagum respact,,22/05/2026 09:45,25,TikTok,"['sya', 'kristen', 'pernah', 'masuk', 'kinja', 'kaki', 'mesjid', 'kagum', 'respact']",sya kristen pernah masuk kinja kaki mesjid kagum respact,,Positif
Masjid Raya Baiturrahman,sticker mesjid baiturrahman banda aceh,,05/06/2026 17:09,1,TikTok,"['sticker', 'mesjid', 'baiturrahman', 'banda', 'aceh']",sticker mesjid baiturrahman banda aceh,,Positif
Masjid Raya Baiturrahman,aku ingin kembali lagi ke sini,,22/05/2026 11:07,6,TikTok,"['aku', 'sini']",aku sini,,Positif
Masjid Raya Baiturrahman,ya allah kapan aku bisa keaceh soalnya aku tinggal di pidie,,20/05/2026 17:59,5,TikTok,"['allah', 'kapan', 'aku', 'keaceh', 'soal', 'aku', 'tinggal', 'pidie']",allah kapan aku keaceh soal aku tinggal pidie,,Positif
Masjid Raya Baiturrahman,mesjid agung,,20/05/2026 12:02,9,TikTok,"['mesjid', 'agung']",mesjid agung,,Positif
Masjid Raya Baiturrahman,sambil rebahan bisa masuk mesjid raya asik ini mantap apalagi saat jamaahnya ramai bnyak sperti momen shalat ied lebih mantap lagi ditunggu ya sob,,21/05/2026 20:50,6,TikTok,"['rebah', 'masuk', 'mesjid', 'raya', 'asik', 'mantap', 'jamaah', 'ramai', 'bnyak', 'sperti', 'momen', 'shalat', 'ied', 'lebih', 'mantap', 'tunggu', 'sob']",rebah masuk mesjid raya asik mantap jamaah ramai bnyak sperti momen shalat ied lebih mantap tunggu sob,,Positif
Masjid Raya Baiturrahman,y allah pengen ke situ lagi bareng orgtua skrang udh tmbah anggota kluarga lgi smoga bisa,,20/05/2026 11:56,16,TikTok,"['y', 'allah', 'ken', 'situ', 'bareng', 'orgtua', 'skrang', 'udh', 'tmbah', 'anggota', 'kluarga', 'lgi', 'smoga']",y allah ken situ bareng orgtua skrang udh tmbah anggota kluarga lgi smoga,,Positif
Masjid Raya Baiturrahman,mesjid kebanggaan orang aceh klo ke banda aceh sebelum singgah ke mesjid raya belum sah rasanya salam dari aneuk ranto medan,,20/05/2026 14:02,5,TikTok,"['mesjid', 'bangga', 'orang', 'aceh', 'klo', 'banda', 'aceh', 'singgah', 'mesjid', 'raya', 'sah', 'rasa', 'salam', 'aneuk', 'ranto', 'medan']",mesjid bangga orang aceh klo banda aceh singgah mesjid raya sah rasa salam aneuk ranto medan,,Positif
Masjid Raya Baiturrahman,aku pernah solat di mesjid raya banda aceh yaallah pingin kesitu lagi,,20/05/2026 17:11,9,TikTok,"['aku', 'pernah', 'solat', 'mesjid', 'raya', 'banda', 'aceh', 'yaallah', 'pingin', 'kesitu']",aku pernah solat mesjid raya banda aceh yaallah pingin kesitu,,Positif
Masjid Raya Baiturrahman,masya allah,,03/06/2026 11:51,0,TikTok,"['masya', 'allah']",masya allah,,Positif
Masjid Raya Baiturrahman,masyaallah sangat indah,,23/05/2026 13:06,0,TikTok,"['masyaallah', 'sangat', 'indah']",masyaallah sangat indah,,Positif
Masjid Raya Baiturrahman,pengen ke aceh bulan depan semaga aja ke capai salam minang lhoksumawe,,20/05/2026 19:26,6,TikTok,"['ken', 'aceh', 'bulan', 'depan', 'semaga', 'aja', 'capai', 'salam', 'mang', 'lhoksumawe']",ken aceh bulan depan semaga aja capai salam mang lhoksumawe,,Positif
Masjid Raya Baiturrahman,keren kak,,24/05/2026 14:33,0,TikTok,"['keren', 'kak']",keren kak,,Positif
